Флэш-накопитель Leef ibridge 16GB,999 руб.,р-н Мотовилихинский,https://avito.ru/perm/tovary_dlya_kompyutera/flesh-nakopitel_leef_ibridge_16gb_839060043
Флешка 16 Гб. Новая,600 руб.,,https://avito.ru/perm/tovary_dlya_kompyutera/fleshka_16_gb._novaya_1216066784
"Флешка marvel, USB 2.0, 8 GB, Железный Человек",800 руб.,р-н Мотовилихинский,https://avito.ru/perm/tovary_dlya_kompyutera/fleshka_marvel_usb_2.0_8_gb_zheleznyy_chelovek_1224814204
Подарочная флешка Спайдермен 8 Gb Flash,500 руб.,Online lavka,https://avito.ru/perm/tovary_dlya_kompyutera/podarochnaya_fleshka_spaydermen_8_gb_flash_740512181
Флешка объемом 128 гб (Гигабайт.),2 000 руб.,р-н Мотовилихинский,https://avito.ru/perm/tovary_dlya_kompyutera/fleshka_obemom_128_gb_gigabayt._707872220
Флэшки Kingston 16Gb,300 руб.,р-н Дзержинский,https://avito.ru/perm/tovary_dlya_kompyutera/fleshki_kingston_16gb_693015876
Usb флешка 16 Gb Transcend,350 руб.,Компания,https://avito.ru/perm/tovary_dlya_kompyutera/usb_fleshka_16_gb_transcend_797831427
USB-флешка sandisk 8Gb Cruzer Blade,300 руб.,р-н Дзержинский,https://avito.ru/perm/tovary_dlya_kompyutera/usb-fleshka_sandisk_8gb_cruzer_blade_1116964886
Карта Памяти Micro SD 8GB Class 4 Новая,350 руб.,р-н Свердловский,https://avito.ru/perm/tovary_dlya_kompyutera/karta_pamyati_micro_sd_8gb_class_4_novaya_745538031
Карта Памяти Micro SD 4GB Новая,220 руб.,р-н Свердловский,https://avito.ru/perm/tovary_dlya_kompyutera/karta_pamyati_micro_sd_4gb_novaya_375598043
Адаптер SD для Micro SD Новый,50 руб.,р-н Свердловский,https://avito.ru/perm/tovary_dlya_kompyutera/adapter_sd_dlya_micro_sd_novyy_375598643
USB флеш-накопитель Smartbuy Crown 32 Gb черный,650 руб.,Online lavka,https://avito.ru/perm/tovary_dlya_kompyutera/usb_flesh-nakopitel_smartbuy_crown_32_gb_chernyy_1139232950
Подарочная USB Флешка в виде Клубнички 8 Gb,500 руб.,Online lavka,https://avito.ru/perm/tovary_dlya_kompyutera/podarochnaya_usb_fleshka_v_vide_klubnichki_8_gb_1153044858
Адаптер для microSD на Memory Stick PRO DUO,199 руб.,р-н Свердловский,https://avito.ru/perm/tovary_dlya_kompyutera/adapter_dlya_microsd_na_memory_stick_pro_duo_777279782
USB флеш-накопитель Smartbuy Paean 32 Gb белая,650 руб.,Online lavka,https://avito.ru/perm/tovary_dlya_kompyutera/usb_flesh-nakopitel_smartbuy_paean_32_gb_belaya_1199706340
Подарочная USB флешка Акула 8 гб Flash,500 руб.,Online lavka,https://avito.ru/perm/tovary_dlya_kompyutera/podarochnaya_usb_fleshka_akula_8_gb_flash_900784188
